Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date
CUS_0x1048,42387.54,3680295,3,7,26,7,"Personal Loan, Not Specified, Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, Payday Loan, and Debt Consolidation Loan",9,8,10.34,70,Standard,1835.67,"2,87531E+15",10 Years and 0 Months,Yes,"2,25883E+14",133.51336229583663,High_spent_Small_value_payments,"2,68633E+15",2024-02-01
CUS_0x10c0,49454.13,43281775,8,5,23,2_,"Payday Loan, and Auto Loan",59,23,4.95,80,Bad,1388.56,"2,89784E+15",13 Years and 4 Months,NM,"7,33464E+15",148.5406575943259,Low_spent_Medium_value_payments,"4,59078E+16",2024-02-01
CUS_0x115c,41695.76,"3,40165E+15",6,7,15,9,"Not Specified, Credit-Builder Loan, Mortgage Loan, Credit-Builder Loan, Credit-Builder Loan, Student Loan, Mortgage Loan, Debt Consolidation Loan, and Mortgage Loan",24,20_,31.99,80,Bad,4453.51,"2,66978E+15",8 Years and 6 Months,NM,"3,02806E+15",85.68416842593166,Low_spent_Large_value_payments,"2,21675E+16",2024-02-01
CUS_0x12b6,67104.12,"5,82901E+15",9,9,19,5,"Student Loan, Not Specified, Payday Loan, Not Specified, and Auto Loan",28,25,21.54,80,Bad,4635.75,"2,7644E+15",1 Years and 9 Months,Yes,"2,65022E+15",__10000__,Low_spent_Medium_value_payments,"3,9162E+15",2024-02-01
CUS_0x12b8,15906.4,"1,35053E+16",9,10,21,8,"Credit-Builder Loan, Student Loan, Debt Consolidation Loan, Student Loan, Student Loan, Home Equity Loan, Credit-Builder Loan, and Not Specified",22,21,27.86,60,Bad,3167.74,"3,10857E+15",10 Years and 11 Months,Yes,"9,18934E+14",119.6072590468508,Low_spent_Small_value_payments,"2,13553E+15",2024-02-01
CUS_0x12ef,68898.0,55885,7,4,11,0,,24,16,5.8,50,Standard,312.14,"2,98616E+15",28 Years and 2 Months,No,0,195.78897977675166,!@9#%8,"6,13061E+15",2024-02-01
CUS_0x134d,85324.44,728637,5,7,18,3_,"Auto Loan, Personal Loan, and Payday Loan",12,12,16.22,70,Standard,713.09,"2,86454E+15",28 Years and 6 Months,Yes,"1,97305E+15",279.8194092753569,High_spent_Medium_value_payments,"5,01512E+15",2024-02-01
CUS_0x13c2,60682.11,51798425,8,5,23,5,"Home Equity Loan, Debt Consolidation Loan, Credit-Builder Loan, Payday Loan, and Debt Consolidation Loan",41,18,26.12,90,Bad,4899.87,"3,5247E+15",9 Years and 5 Months,Yes,"1,95451E+15",142.65756191908372,Low_spent_Medium_value_payments,"3,8653E+16",2024-02-01
CUS_0x1414,51093.12,408076,8,9,25,6,"Credit-Builder Loan, Payday Loan, Home Equity Loan, Not Specified, Home Equity Loan, and Payday Loan",42,22,27.67,120,Bad,3628.5,"3,07149E+16",11 Years and 2 Months,Yes,"2,46089E+14",330.92236338088344,Low_spent_Small_value_payments,"1,21065E+16",2024-02-01
CUS_0x1470,14156.88,125174,3,4,4,4,"Mortgage Loan, Not Specified, Payday Loan, and Home Equity Loan",0,8,8.86,40,Good,602.3,"3,11107E+15",27 Years and 0 Months,No,578030,91.45229450742808,Low_spent_Small_value_payments,"2,87064E+15",2024-02-01
