Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date
CUS_0x107e,75095.91,62699925,5,6,15,6,"Personal Loan, Payday Loan, Personal Loan, Student Loan, Home Equity Loan, and Payday Loan",9,10,20.53,80,Standard,989.71,"2,42191E+15",12 Years and 0 Months,Yes,784460,__10000__,Low_spent_Medium_value_payments,"2,34067E+16",2024-11-01
CUS_0x10b3,136150.6,"1,11279E+16",1,5,9,3,"Student Loan, Student Loan, and Auto Loan",10,3,10.72,30,_,260.29,"3,59586E+16",27 Years and 4 Months,NM,"1,77654E+16",1302.3574307873828,Low_spent_Small_value_payments,"8,98359E+15",2024-11-01
CUS_0x10df,9929.235,"8,28436E+15",4,8,23,3,"Not Specified, Auto Loan, and Student Loan",16,18_,11.5,140,Standard,2328.08,"3,65093E+15",7 Years and 2 Months,Yes,"1,8121E+16",74.96443136195327,Low_spent_Small_value_payments,"2,60916E+15",2024-11-01
CUS_0x10e7,64933.76,"5,36815E+16",3,3,33,-100,"Mortgage Loan, Auto Loan, Home Equity Loan, and Debt Consolidation Loan",15,19,13.04,110,Standard,2699.17_,"2,49586E+15",14 Years and 4 Months,Yes,"1,93693E+16",186.14666535889234,High_spent_Medium_value_payments,"4,06975E+15",2024-11-01
CUS_0x1144,135851.24,"1,14189E+16",4,4,18,2,"Home Equity Loan, and Auto Loan",28,19,11.19,130,Standard,695.12,"3,26319E+16",25 Years and 2 Months,Yes,"2,06557E+16",1139.0837370941445,Low_spent_Medium_value_payments,"7,62527E+15",2024-11-01
CUS_0x1152,31316.47,"2,51071E+15",0,2,6,2,"Payday Loan, and Personal Loan",13,5,5.44,10,Good,800.89,"3,64517E+14",18 Years and 6 Months,No,269590,124.97678843365013,High_spent_Small_value_payments,"3,55272E+15",2024-11-01
CUS_0x11ae,14550.52,"1,39254E+15",7,10,25,9,"Personal Loan, Not Specified, Home Equity Loan, Home Equity Loan, Personal Loan, Auto Loan, Home Equity Loan, Auto Loan, and Personal Loan",43,20,23.08,60,_,4444.99,"2,55695E+15",11 Years and 0 Months,Yes,"9,5911E+15",123.13871021618077,Low_spent_Small_value_payments,"2,10205E+15",2024-11-01
CUS_0x1231,30739.3_,"2,29861E+15",4,4,13,6,"Student Loan, Personal Loan, Payday Loan, Payday Loan, Student Loan, and Student Loan",15,8,16.7,50,Standard,1365.58,"2,34031E+15",18 Years and 2 Months,Yes,"1,35238E+15",106.45326410182086,High_spent_Small_value_payments,"2,48169E+16",2024-11-01
CUS_0x126d,34710.6_,317055,6,3,20,-100,"Credit-Builder Loan, Payday Loan, Credit-Builder Loan, Student Loan, Payday Loan, Not Specified, and Mortgage Loan",22,10,14.76,100,Standard,1462.53,"3,3989E+16",15 Years and 0 Months,Yes,"1,97108E+15",324.46240797716166,Low_spent_Small_value_payments,"8,54845E+15",2024-11-01
CUS_0x127d,15096.85,"1,03307E+16",8,6,20,4,"Home Equity Loan, Home Equity Loan, Home Equity Loan, and Payday Loan",18,20,8.76,60,_,1928.03,"3,25166E+14",17 Years and 3 Months,Yes,"3,53136E+15",63.66859960550003,High_spent_Small_value_payments,"2,64325E+15",2024-11-01
CUS_0x1298,102080.46,8299705,5,6,10,4,"Personal Loan, Debt Consolidation Loan, Mortgage Loan, and Debt Consolidation Loan",17,15,11.17,10,Standard,89.98,"3,3242E+15",24 Years and 4 Months,Yes,"2,23399E+15",412.5934587332332,!@9#%8,"4,53978E+15",2024-11-01
CUS_0x12a4,78094.28,"6,75586E+15",10,7,15,5,"Personal Loan, Not Specified, Home Equity Loan, Home Equity Loan, and Auto Loan",62,19,6.92,120,Bad,1695.41,"3,82798E+16",19 Years and 8 Months,Yes,"2,7064E+16",68.31523136363974,High_spent_Large_value_payments,"5,76631E+15",2024-11-01
CUS_0x138d,88069.62,"7,55214E+15",162,7,5,3,"Payday Loan, Mortgage Loan, and Credit-Builder Loan",5,8,13.72,70,Good,1096.06,"2,45557E+15",21 Years and 7 Months,No,"1,51489E+16",693.2090066263067,Low_spent_Small_value_payments,"2,00515E+15",2024-11-01
CUS_0x13fb,23537.54,"1,90646E+16",7,4,8,3,"Mortgage Loan, Mortgage Loan, and Auto Loan",16,22,7.13,60,Standard,174.06,"2,53913E+16",9 Years and 8 Months,Yes,"5,35583E+15",60.697820111972504,High_spent_Small_value_payments,"3,3639E+16",2024-11-01
CUS_0x1535,31396.36,"2,46936E+15",2,3,12,3,"Not Specified, Mortgage Loan, and Not Specified",5,3,11.13,80,_,1294.44,"2,81958E+14",24 Years and 9 Months,No,"7,0755E+15",__10000__,Low_spent_Small_value_payments,"2,18309E+16",2024-11-01
CUS_0x1551,16674.01,"1,3425E+16",1,4,5,-100,Auto Loan,11,7,-3.97,40,Good,1471.88,"2,56956E+16",16 Years and 5 Months,NM,"1,36323E+16",39.53110723974938,High_spent_Small_value_payments,"3,41087E+16",2024-11-01
CUS_0x158e,36638.43,28072025,3,6,20,-100,"Mortgage Loan, Personal Loan, Home Equity Loan, and Student Loan",14,12,14.63,40,Standard,110.35,"4,03856E+15",21 Years and 11 Months,Yes,"1,20794E+16",96.7478465321245,High_spent_Medium_value_payments,"3,13179E+15",2024-11-01
CUS_0x15a9,10737.365,"8,8478E+15",8,4,14,4,"Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, and Personal Loan",18,16,16.61,80,Standard,1126.18,"3,80293E+15",19 Years and 0 Months,Yes,"1,95026E+15",28.45240847947361,High_spent_Small_value_payments,"3,00523E+16",2024-11-01
CUS_0x174b,22709.37,21154475,6,5,19,2,"Personal Loan, and Debt Consolidation Loan",20,11,17.62,80,Standard,412.53,"3,58013E+16",26 Years and 8 Months,Yes,771140,99.7458312242491,Low_spent_Medium_value_payments,"3,6636E+16",2024-11-01
CUS_0x178d,34974.41,"2,99853E+15",6,4,18,0,,24,9,8.14,10,Standard,505.88,"2,46745E+15",32 Years and 0 Months,NM,0,190.46145909543029,High_spent_Small_value_payments,"3,69392E+16",2024-11-01
CUS_0x1799,17098.88,"1,55591E+15",7,4,9,4,"Debt Consolidation Loan, Payday Loan, Personal Loan, and Payday Loan",13,20,7.14,50,Standard,1408.73,"3,88742E+15",26 Years and 4 Months,Yes,"5,167E+15",122.36722886451452,Low_spent_Small_value_payments,"2,71553E+15",2024-11-01
CUS_0x1835,34888.64,"2,77139E+16",5,5,20,3,"Credit-Builder Loan, Credit-Builder Loan, and Mortgage Loan",29,16,17.08,60,_,817.6,"2,47702E+14",8 Years and 11 Months,Yes,"4,60917E+15",96.82983022297876,High_spent_Small_value_payments,"3,94217E+15",2024-11-01
