Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date
CUS_0x10bb,60830.92,"5,04424E+15",0,1,11,4,"Payday Loan, Home Equity Loan, Auto Loan, and Debt Consolidation Loan",14,3,7.41,0,_,133.63,"3,87123E+15",23 Years and 10 Months,No,"1,59799E+16",404.04581806804174,Low_spent_Small_value_payments,"2,30579E+16",2023-03-01
CUS_0x10eb,28315.95_,24156625,4,7,10,2_,"Student Loan, and Payday Loan",8,8,10.34,40,Good,677.4,"2,69123E+15",20 Years and 5 Months,No,"3,0231E+16",133.04883496511272,Low_spent_Small_value_payments,"3,68286E+16",2023-03-01
CUS_0x1132,46268.4,39837,5,4,20,4_,"Student Loan, Debt Consolidation Loan, Student Loan, and Home Equity Loan",27,17,9.58,90,_,1447.57,"3,04572E+15",14 Years and 0 Months,Yes,"1,03778E+16",230.94915382236252,High_spent_Small_value_payments,"3,23643E+15",2023-03-01
CUS_0x1135,83358.3,"6,89653E+16",5,3,5,3,"Auto Loan, Not Specified, and Auto Loan",6,6,2.66,70,_,727.88,"2,42043E+15",30 Years and 10 Months,No,"1,69936E+16",243.03652769348827,High_spent_Medium_value_payments,"5,2668E+15",2023-03-01
CUS_0x11c7,36817.94,"3,19816E+15",5,4,5,3,"Home Equity Loan, Auto Loan, and Mortgage Loan",9,6,3.98,50,Good,1019.46,"3,52707E+16",17 Years and 2 Months,No,"8,68099E+15",206.51433123972583,Low_spent_Small_value_payments,"3,16492E+14",2023-03-01
CUS_0x123a,36228.2,"2,99102E+16",8,7,34,2,"Personal Loan, and Not Specified",28,15,18.07,90,_,1643.06,"3,71125E+15",18 Years and 9 Months,Yes,"4,72524E+15",176.60375699560146,Low_spent_Medium_value_payments,"3,66978E+15",2023-03-01
CUS_0x1271,99337.28,"8,56311E+15",5,5,17,6,"Credit-Builder Loan, Mortgage Loan, Debt Consolidation Loan, Mortgage Loan, Debt Consolidation Loan, and Auto Loan",14,13,13.01,50,Standard,255.82,"3,60468E+16",16 Years and 6 Months,Yes,"3,38652E+16",312.2186550500326,High_spent_Medium_value_payments,"4,5544E+15",2023-03-01
CUS_0x12dd,31754.27,"2,54119E+16",1,3,11,4,"Mortgage Loan, Payday Loan, Mortgage Loan, and Payday Loan",10,-1,6.81,50,_,647.94,"2,83334E+16",19 Years and 3 Months,NM,"7,65355E+15",190.01464649213744,Low_spent_Small_value_payments,"2,77569E+16",2023-03-01
CUS_0x1324,19858.97,"1,66391E+15",10,6,24,3,"Mortgage Loan, Personal Loan, and Home Equity Loan",33,22,1.33,80,Bad,1689.38,"3,13034E+15",13 Years and 4 Months,Yes,68210,38.63901938795086,High_spent_Medium_value_payments,"3,29968E+16",2023-03-01
CUS_0x136b,120260.2,"9,90468E+15",4,5,14,1_,Mortgage Loan,14,15,18.5,20,Standard,1436.96,"4,26393E+15",21 Years and 0 Months,Yes,"5,31551E+13",239.16096328307412,Low_spent_Large_value_payments,"9,68152E+15",2023-03-01
CUS_0x13df,32387.94,2819995,8,4,12,0,,5,9,6.18,50,_,565.34,"2,53109E+15",16 Years and 9 Months,No,0,213.63270455090958,Low_spent_Small_value_payments,"3,58367E+16",2023-03-01
CUS_0x13ee,11826.655,"8,36555E+15",8,6,6,3,"Auto Loan, Mortgage Loan, and Student Loan",27,15,3.97,60,Standard,673.14,"3,62383E+14",26 Years and 9 Months,No,"2,52302E+15",95.83668148422687,Low_spent_Small_value_payments,"2,52589E+15",2023-03-01
CUS_0x14d8,53052.2,"4,54602E+15",6,5,12,2,"Credit-Builder Loan, and Payday Loan",30,9,6.57,40,Standard,434.25,"2,8463E+15",17 Years and 0 Months,No,"7,96069E+15",538.4489417575683,Low_spent_Small_value_payments,"1,26546E+16",2023-03-01
CUS_0x1521,16252.91,"1,58441E+16",1,5,4,2,"Not Specified, and Home Equity Loan",15,11,3.29,50,Good,1484.51,"3,14267E+16",33 Years and 3 Months,No,"1,96535E+16",170.37019886903838,Low_spent_Small_value_payments,"2,58417E+15",2023-03-01
CUS_0x15a4,15652.99,"1,31842E+16",1,5,5,1,Credit-Builder Loan,10,5,5.86,20,Good,37.63,"3,05791E+15",30 Years and 5 Months,No,"1,08225E+16",44.735970070162786,High_spent_Small_value_payments,"3,36283E+15",2023-03-01
CUS_0x15b9,32023.64,"2,54964E+16",7,10,19,2,"Auto Loan, and Debt Consolidation Loan",28,16,9.43,60,Standard,2518.1,"3,76004E+15",12 Years and 10 Months,Yes,"2,99895E+16",62.948681819691885,High_spent_Medium_value_payments,"4,12025E+16",2023-03-01
CUS_0x1690,51266.34,4089195,6,6,24,7,"Mortgage Loan, Student Loan, Mortgage Loan, Student Loan, Payday Loan, Not Specified, and Mortgage Loan",19,21,26.79,100,_,4895.58,"3,54956E+15",4 Years and 0 Months,Yes,"1,7647E+16",97.10077272797982,High_spent_Medium_value_payments,"3,85349E+15",2023-03-01
CUS_0x16d0,18463.93,"1,79566E+16",4,6,20,4,"Credit-Builder Loan, Credit-Builder Loan, Mortgage Loan, and Home Equity Loan",22,14,17.93,60,Standard,866.07,"3,60042E+15",9 Years and 4 Months,Yes,"4,69754E+15",20.698997740665746,High_spent_Medium_value_payments,"3,61892E+15",2023-03-01
CUS_0x1769,40651.74,3238645,3,4,4,4,"Mortgage Loan, Payday Loan, Student Loan, and Personal Loan",11,3,10.69,50,Good,231.41,"2,44446E+15",30 Years and 10 Months,No,"1,33101E+16",74.29473343468923,High_spent_Large_value_payments,"3,56469E+15",2023-03-01
CUS_0x17c3,144423.72,1195331,2,7,1,3,"Not Specified, Personal Loan, and Mortgage Loan",8,11,10.6,90,Good,1255.59,"3,41763E+16",23 Years and 3 Months,No,"2,94883E+16",940.5112840813812,!@9#%8,"2,39937E+16",2023-03-01
CUS_0x1844,11845938.0,636715,6,6,5,3,"Not Specified, Student Loan, and Home Equity Loan",12,13,15.49,60,Standard,1382.42,"2,53574E+15",5 Years and 10 Months,Yes,101220,43.827202431012346,Low_spent_Medium_value_payments,"2,76207E+15",2023-03-01
CUS_0x18a6,34279.21,"2,7416E+15",5,2,4985,3,"Student Loan, Home Equity Loan, and Payday Loan",14,10,4.83,0,Good,1133.21,"2,25385E+14",32 Years and 4 Months,NM,"6,48113E+14",333.32457248549184,Low_spent_Small_value_payments,"1,66024E+16",2023-03-01
