Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date
CUS_0x10ac,16718.645,"1,27022E+16",7,3,15,4,"Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, and Debt Consolidation Loan",26,11,18.45,10,_,853.41,"3,13973E+15",16 Years and 3 Months,No,"5,09619E+14",36.41309208442618,!@9#%8,"3,19647E+15",2024-08-01
CUS_0x10c5,158623.16,"1,31806E+16",2,7,10,1,Payday Loan,10,5,6.04,0,Good,1134.83,"4,17968E+14",30 Years and 2 Months,No,"9,10339E+15",282.71868909757717,High_spent_Medium_value_payments,"1,19431E+16",2024-08-01
CUS_0x1145,17975.32,"1,44494E+16",6,5,32,9,"Student Loan, Payday Loan, Not Specified, Mortgage Loan, Home Equity Loan, Payday Loan, Payday Loan, Not Specified, and Credit-Builder Loan",61,25,8.9,130,Bad,1263.1,"2,56818E+16",12 Years and 5 Months,Yes,"7,64503E+13",176.77621007546128,Low_spent_Small_value_payments,"1,81268E+16",2024-08-01
CUS_0x11ac,69136.54,"5,90238E+15",3,4,14,0,,14,18,7.18,30,Standard,478.85,"3,21032E+16",17 Years and 5 Months,Yes,0,435.93700154823983,Low_spent_Small_value_payments,"4,44301E+16",2024-08-01
CUS_0x122c,36346.13,"3,18884E+16",8,6,11,3,"Credit-Builder Loan, Home Equity Loan, and Auto Loan",21,15,10.54,40,Good,1252.46,"2,80667E+15",22 Years and 2 Months,NM,"8,90616E+15",110.50970251432872,High_spent_Medium_value_payments,"3,69313E+15",2024-08-01
CUS_0x1274,49070.94,"4,12825E+15",8,4,4041,3_,"Student Loan, Payday Loan, and Payday Loan",13,17,12.81,80,Standard,1800.41,"2,86957E+16",5 Years and 11 Months,NM,"7,27388E+15",330.05138747175704,Low_spent_Small_value_payments,"3,00034E+16",2024-08-01
CUS_0x1288,60938.13,51631775,10,8,31,8,"Payday Loan, Payday Loan, Not Specified, Student Loan, Mortgage Loan, Payday Loan, Mortgage Loan, and Credit-Builder Loan",26,21,17.49,90,Bad,3947.24,"3,65913E+16",5 Years and 5 Months,Yes,"3,78305E+14",509.04521941935053,Low_spent_Large_value_payments,"2,69716E+14",2024-08-01
CUS_0x12cc,20521.36,"1,72111E+16",10,8,17,3,"Personal Loan, Payday Loan, and Mortgage Loan",21,12,14.94,100,Standard,1896.78,"2,27244E+15",10 Years and 9 Months,Yes,"4,2152E+15",110.96335252487991,!@9#%8,"2,44419E+15",2024-08-01
CUS_0x1338,20078.47,"1,44721E+16",10,10,31,8,"Student Loan, Auto Loan, Home Equity Loan, Credit-Builder Loan, Auto Loan, Credit-Builder Loan, Debt Consolidation Loan, and Personal Loan",43,22,25.27,130,_,4545.35,"3,17755E+15",13 Years and 10 Months,NM,"1,20334E+16",78.196521486097,Low_spent_Small_value_payments,"2,3619E+15",2024-08-01
CUS_0x1370,10216.36,"5,87016E+14",10,8,22,5,"Mortgage Loan, Personal Loan, Student Loan, Student Loan, and Personal Loan",20,23,19.55,60,Bad,3703.66,"2,94567E+15",12 Years and 2 Months,Yes,"1,2123E+15",26.723716674365626,High_spent_Medium_value_payments,"2,6233E+16",2024-08-01
CUS_0x1378,18064.06,"1,57934E+16",6,5,224,6,"Auto Loan, Student Loan, Mortgage Loan, Mortgage Loan, Home Equity Loan, and Credit-Builder Loan",16,10,19.9,60,_,2116.7,"2,93347E+16",8 Years and 4 Months,Yes,"7,74417E+15",144.5582196415203,!@9#%8,"2,15934E+15",2024-08-01
CUS_0x139b,29313.3,2151775,4,5,1,3,"Credit-Builder Loan, Home Equity Loan, and Not Specified",-1,4,5.95,70,Good,341.96,"2,81956E+14",32 Years and 5 Months,No,"5,2217E+15",128.96051975666418,High_spent_Small_value_payments,"2,94E+16",2024-08-01
CUS_0x13a9,19473209.0,"4,6189E+15",3,7,5,3,"Credit-Builder Loan, Auto Loan, and Mortgage Loan",14,12,2.03,70,Good,140.59,"3,18064E+16",28 Years and 8 Months,No,"9,25059E+15",114.27160508723091,High_spent_Medium_value_payments,"5,05113E+15",2024-08-01
CUS_0x13ce,18710.74,"1,36323E+16",2,6,8,4,"Payday Loan, Credit-Builder Loan, Payday Loan, and Student Loan",1,8,5.130000000000001,50,Good,830.7,"2,27384E+16",29 Years and 8 Months,No,"5,03209E+15",63.22151611825996,Low_spent_Large_value_payments,"2,9278E+15",2024-08-01
CUS_0x147a,14384.4,12187,3,7,19,6,"Credit-Builder Loan, Debt Consolidation Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, and Auto Loan",20,17,11.11,50,Standard,1465.3,"3,58479E+15",7 Years and 3 Months,Yes,"6,54971E+15",10.794805794158137,High_spent_Large_value_payments,"2,85578E+15",2024-08-01
CUS_0x1510,53218.86,4715905,10,9,25,2,"Not Specified, and Credit-Builder Loan",26,19,8.67,120,Bad,2623.47,"3,54957E+15",7 Years and 10 Months,Yes,"5,63886E+15",146.74920079111945,High_spent_Medium_value_payments,"5,18453E+15",2024-08-01
CUS_0x1572,83384.2,"7,08068E+16",3,9,24,3,"Student Loan, Debt Consolidation Loan, and Personal Loan",27,11,15.14,90,Standard,2613.85,"2,84556E+14",12 Years and 6 Months,Yes,"1,1201E+16",105.62448547960452,High_spent_Large_value_payments,"7,30433E+14",2024-08-01
CUS_0x159b,55670.06999999999,43951725,3,10,26,3,"Home Equity Loan, Debt Consolidation Loan, and Mortgage Loan",14,19,7.7,110,Standard,2074.85,"3,79115E+15",7 Years and 0 Months,Yes,"1,36775E+16",146.3984511197895,High_spent_Medium_value_payments,"4,06344E+16",2024-08-01
CUS_0x15f1,51568.11,40163425,6,10,26,5,"Auto Loan, Mortgage Loan, Mortgage Loan, Debt Consolidation Loan, and Not Specified",27,14,_,110,_,2620.12,"3,6118E+15",10 Years and 2 Months,Yes,"1,72083E+15",94.300479321689,High_spent_Large_value_payments,"3,75251E+15",2024-08-01
